@relation trainingData

@attribute text string
@attribute sentiment_class {positive,negative}

@data
'На дншан дн пред 13 године кометал гу освои европску титулу ',positive
'USERNAME  затоа и за Уругвај без на светско \nпосле Германија, оф корс',positive
'USERNAME  ај бе прај се као демек си возел до Германија и назад! Те боли цеф! ',positive
'#joboffer Метко.  URL',positive
'USERNAME  USERNAME  ...ма знам, најгори су ми ти што воле, па се сав презнојим...болестан неки свет, воли батине......',positive
'USERNAME  ха ха ова најјако е  USERNAME ',positive
'USERNAME  USERNAME  ...ау, шта ти је рек`о, је бо тее........',positive
'USERNAME  USERNAME  ...тебе су Сркс тукли, али те нису тукли довољно...али исправићемо ми ту грешку система......',positive
'Ај ем \'д мастер оф бекгамон ',positive
'USERNAME  ...јебо их беџ...све сам их пописао и списак се поклапа са списком под називом ,,Атеншн бичиз,,...мене ће они, банда......',positive
'Која е веројатноста од наназад години, Арсенал да одбрани трофеј, и да го одбрани Фа Купот?! ',positive
'USERNAME  ...ево...сад баш изнова објашњава све о авио бизнису...он је једноставно ренесансни лик......Леонардо па он...',positive
'дело говорит \np i z d a\nn a m\nz a v t r a URL',positive
'USERNAME  Реци брате мој\nСви ме спрдају због тога ',positive
'USERNAME  то ми је као да ни не пишем ништа или се не пресвлачим... једно од то двоје ',positive
'USERNAME  не могу, годинама сам имао бана ',positive
'USERNAME  ...мени је најсмешније ,,...али је ухваћена...,,....много смешно......',positive
'Љубитељи милион отворених табова у Chrome-у, уједините се! \n\nThe Great Suspender екстензија прискаче у помоћ: URL',positive
'URL Мој Ђак! ',positive
'USERNAME  USERNAME  зависи чиј мир ',positive
'USERNAME  сакам скопје  jesi ti to otišo u prosvjede?',positive
'USERNAME  Господово перење ',positive
'USERNAME  ...па кад си Пресветли Султан, сведржилац и заштитник правоверних......',positive
'USERNAME  шолом, бро ',positive
'USERNAME  болоњезе на моравски начин ',positive
'USERNAME  USERNAME  клитор штоле? ',positive
'USERNAME  гордиев чвор и тоа! ',positive
'USERNAME  реков јас ',positive
'USERNAME  ...па јел би ти сејао кромпир сад по овој врућини...?......',positive
'USERNAME  Број 11, убиствено лево крило ',positive
'USERNAME  генеза ',positive
'USERNAME  USERNAME  ...треба прво да ме ухвате, госпођо......',positive
'USERNAME  мочање во глобала ',positive
'USERNAME  ...по потреби...ако се занесу у крађи па им јаве из финансијског да нема за плате џандарима.....а џандарима мора да буде плата',positive
'USERNAME  USERNAME  USERNAME  Није широки, аба је већ била завршена, Кецман то обавио.   Мислим да је био Борац Чачак.',positive
'Срећан Вам рођендан, све најбоље, USERNAME  .  #skupstina',positive
'USERNAME  Фала мајко. Се трудам! ',positive
'.USERNAME  Где се налази шалтер на коме Мишковић исплаћује нас који критикујемо Вучића на Твитеру? Молим РТ, нисам из Београда! ',positive
':Белгород-22 \nРодина ',positive
'USERNAME  ...раскринкали смо их, Горанче, данас два раскринкавања.......',positive
'USERNAME  идејата било ова да е “порта“ на градот. Незнам од кај црпел инспирација али од Шанзелизе,како некој, сиугрно не. ',positive
'USERNAME  пола миЉон. ',positive
'USERNAME  Мислим да бих дао бољу оцену о Македонији него лик који говори да су #Куманово напали једнорози, а не #UÇK!  Могу овако до сабајле!',positive
'USERNAME  Значи, ипак ћемо вазда` нечег бити жељни. Пусто људско...',positive
'USERNAME  ......широке и дубоке су територије сексуалних фантазија...',positive
'USERNAME  шестерка Пентагона пишет про путинских адептов ',positive
' pa ko sada koga ovdje j.be?? #Političari #lopovi #laž #narod #RS\n  Закон измијењен игнорисањем РС URL',positive
'USERNAME  преферирам static typing тренутно. Тренутно сам у тој фази ',positive
'USERNAME  Демократска Република Македонија ',positive
'USERNAME  ањњњ какво ее гушкалче малечко ',positive
'USERNAME  ...хихихи....знам ја ко је на нишану твог снајпера...јадан човек, а волео сам га као рођеног брата......',positive
'USERNAME  мм,може се рећи ',positive
'USERNAME  USERNAME  ...Пресветли Султане, пријатељу Србије, па ви рачунате у десетинама и стотинама милиона, то вам је за семенке...',positive
'USERNAME  види ти моје Рибе,први пут да се јави  *\nТако је мила ',positive
'USERNAME  USERNAME  е он је...ништа обоје сте цареви...',positive
'USERNAME  USERNAME  епа супер ',positive
'USERNAME  ...ти си краљица Твитера...мада бих се заклео да је било у мушком роду, ал` могуће да је неко мазнуо...',positive
'USERNAME  USERNAME  ...али није он прике више Дракула, он је Султан од Брунеја, наш пријатељ...',positive
'Чек да избројим, овај закон има 53,58, оп, бзбв 71,73, бзв ...78 чланова.  Какав сте Ви USERNAME  краљ. ',positive
'USERNAME  Ево, видим промовисао видео на ЈТ, рекламира, избацио је. То је та прича. ',positive
'USERNAME  Искрена да будем, понекад баш испаднем ћурка. ',positive
'Петух - Ричард.     URL',positive
