text,sentiment
Thanks for being part of my High Schoo life  Yellow Batch. Good luck sa Senior High. I ll see you soon. God bless! ,positive
USERNAME you are welcome. Thabkbyou and good luck to you as well ,positive
USERNAME said no one ,positive
USERNAME  kahany sy ,positive
USERNAME Co-written. But with that many co-writers  I don t think Justin helped that much. ,positive
guys I have a color guard competition today ,positive
USERNAME  we talk later,positive
USERNAME Meeku. Malla first week ke full time share lepestadu anta  USERNAME,positive
USERNAME What a great way to wake up..   I m on my way lol  URL,positive
About to see Zootopia ,positive
Don Broco is the support act for all 5SOS UK dates  xx � I ve heard  xx URL,positive
LOL  NO #Henpicked you are wrong.  USERNAME Gene (genetic  genero)pix l< el D.--,positive
Ahh  my Twitter app is exploding  *disables messages*,positive
Following more people.  x,positive
...::: oohh Hitman edition should be coming today too......freaking christmas. ?,positive
USERNAME that cant be easy! luckily Denis not at that stage... yet  but defo old grumpy git bit ,positive
USERNAME I dont see #EnemiesOfHinduism trending. You sure about that or is USERNAME being crazy again.. selectively.. ,positive
Call Storeroom Education on 209734 if you are interested  URL,positive
thank you so much! ,positive
Pano pp magregister ng unlisurf sa sun? Can someone tell me  pleaase ? ,positive
Totally yummy Olivier Giroud  URL,positive
happy birthday ej  thx for always hitting me w the ball ? USERNAME,positive
USERNAME Thank you for the follow!! We love your page! We look forward to updates from you  have a lovely weekend!!,positive
If you need twitter promotion contact realwebpromotionUSERNAME.com for our packages ,positive
The notifications for Full Paper  Short Paper and Extended Abstract submissions at #websci16 will be out on Tuesday  March 22. Good luck! ,positive
Hahaha... I just can t hold it!  URL,positive
Enjoyed the latest issue of USERNAME. Review will be on the blog in a few weeks  #blogospheremagazine URL,positive
I love her  (only for her horses) URL,positive
Cinderella is going out to play this afternoon in Abbots Langley! ,positive
The 500 sub special q&a will FINALLY be uploaded today! I know we re over 600 subs now  but I want to celebrate  URL,positive
USERNAME well you got there in the end ,positive
Today is USERNAME and I m super excited to be apart of it! Lots of stream time with other streamers and of course #ForTheKids ,positive
USERNAME went there few years ago. It s an amazing city. Go up to the mount  you won t see a similar landscape anywhere else ,positive
USERNAME this is how my  beer prep  goes...no track ever skipped...see you at Westonbirt  URL,positive
USERNAME is off and running!  USERNAME URL,positive
USERNAME  I was being slightly sarcastic but I am like 2 miles outside Eutaw,positive
This is so funny  #dogs URL,positive
Have a nice day everybody  URL,positive
USERNAME oh well  it s the thought that counts ,positive
Seeing all the graduation photos of my former schoolmates makes me happy. ,positive
Wondering what I should do later..  URL,positive
Friend s Original Artwork... check it out now...  URL via USERNAME,positive
USERNAME  Tumblr wants me to confirm you agree on posting your FE rant vid30 seconds is fair use  right? ,positive
USERNAME SEE YOU ON THE OTHER SIDE ,positive
I liked a USERNAME video URL FETELE!!!!!! Cu 8 martie ,positive
USERNAME A few more sexy pics from the two of you. Thank you for sharing ,positive
USERNAME Yeah.. I might actually just decide to live there again. I haven t been there since I was young. ,positive
USERNAME I love me too ,positive
USERNAME done unnie! ,positive
absolutely!       URL,positive
USERNAME He isn t a career politician  which is probably the only reason there s faith in him. Good day to you ,positive
Good morning Saturday  ?? URL,positive
And in work I stapled my finger so that both edges were as far down in my finger as they could go.. It s been a great day!  ,positive
I know that I use to say that I m a sucker for wine and that I love the taste. But isn t it great just getting drunk! ,positive
USERNAME yeah sure he can dance.sure.absolutely.he s relatable being socially awkward and everything ,positive
USERNAME I been wanting to as well ,positive
USERNAME yes! two more exams and hopefully *crossed fingers*  I m done! huhuhu. Thank you! ,positive
USERNAME seconded  it looks awesome  USERNAME,positive
Laugh until you forget all your worries. ,positive
USERNAME Good Morning  Have a nice day! ,positive
USERNAME thank you!!! Always !,positive
USERNAME USERNAME USERNAME no problem i hope u had a good time ,positive
The lace I have is slightly more than the one I need!!!! ,positive
but good morning i m going to track ,positive
USERNAME Looking forward to your return man! Good luck ,positive
Maplhite Gaming  #LeagueOfLegend#TankSupport,positive
USERNAME Penises ,positive
USERNAME it is ,positive
USERNAME haha you do get them ,positive
Thanks Mike! I loved it  the kids were great! I am sure you cleaned up  URL,positive
I just bought in an anime expo this epicness  (Barcelona) URL #undertale URL,positive
I just want to get to know you - jai waetford ,positive
USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Thanks George! Have a good weekend too!!!  X,positive
Love it when you reply to me. And that s always. <3,positive
LIFE  #SLFLMNLTeamBahay,positive
Best sleep over party ever  x,positive
Well the good news is you can still shop for homes all weekend Check out our new construction developments:... URL,positive
USERNAME Cannot wait for some new creations ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
When u just now realized u messed up the joke : ) URL,positive
USERNAME Montreal s fine. Congrats on the new book! ,positive
USERNAME LOVE the kids playing with the guillotine.  Adore!,positive
FFA it is then ,positive
USERNAME you re welcome honey! ,positive
THESIS is so DEAD hahahahh!! ,positive
That is amazing!!  URL,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
Good morning  I m always late,positive
I m fascinated by USERNAME having used USERNAME and experienced it s 100x performance for myself. Play Time  URL,positive
USERNAME miss you too ,positive
I m crazy crazy in love with the person who doesn t love me. USERNAME USERNAME USERNAME USERNAME ari hu!  sareehh!,positive
USERNAME Actually a work trip but with some play thrown in I m sure  Last night any good?,positive
FIFTH HARMONY TO PH PLEASE! ESPECIALLY CAMILLA ,positive
Another misty morn  #stagoftheday USERNAME USERNAME USERNAME USERNAME USERNAME URL,positive
USERNAME Your listeners are all very passionate and loyal to what you do. I know I am. Numbers isn t everything  keep doing what you do ,positive
USERNAME Oh  I bet you re bumming. ,positive
Great minds think alike but dirty minds work together ,positive
USERNAME Nice tweet ,positive
Really want two things: 1) The Mavs make the playoffs 2) Mavs finish as the 7th seed. Would mean Spurs first round in Dallas   #GoSpursGo,positive
And He multitasks.  ,positive
USERNAME come here and lemme flick your head first  then i ll forgive you ,positive
USERNAME hey today marks one year since we met  URL,positive
USERNAME yes Miss/Sir. ,positive
Just in case you missed it  check out yesterdays quick video. War Thunder // First Blood URL via USERNAME,positive
